SL_no,Name,Place,Taluk,District,Location,Latitude,Longitude,Classification,Category,Orientation,Dedication,Period,AD_BC,Dynastic,Style,Material,Description,SculptorArtist,Paintings,PublishedBy,Protected_by,PDFLink,ImageURL,iconUrl
11,Bhavanishankara Temple,Old Hubli,Hubballi,Dharawad,Inside the town,15.338273,75.129445,NA,NA,East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Bhavanishankara Temple.pdf,images/Dharwad/Bhavanishankara Temple.jpg,images/temple_.png
12,Kalmeshwara Temple,Sulla,Hubballi,Dharawad,Inside the Village,15.448152,75.176805,NA,NA,East,Shiva,11-12th century ,AD,NA,Later Chalukyan,Dolerite Schist,The temple faces east. It has only a garbhagraha. In the garbhagraha is a Sivalinga. The garbhagraha has a simple door frame. The temple is completely renovated.,NA,NA,Balannavar R.G; 1994 The Report Of The Archeological Regional Survey Of The Hubli Taluk M. A.  Dissertation Karnataka University Dharwad.,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Kalmeshwara Temple.pdf,images/Dharwad/Kalmeshwara Temple.jpg,images/temple_.png
13,Naryan Temple ,Yerguppi,Hubballi,Dharawad,Inside the Village,15.308519,75.312375,NA,NA,North,Vishnu,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Naryan Temple.pdf,images/Dharwad/Naryan Temple.jpg,images/temple_.png
14,Veerabhadra Temple,Byrahatti,Hubballi,Dharawad,Inside the Village,15.448139,75.204867,NA,NA,East,NA,17-18th century,AD,NA,Post Vijayanagar,Black Stone,This modern temple comprises a garbhagraha and a  mandapa. In the garbhagraha is an Anjaneya sculpture. The garbhagraha has a wooden roof. There are sixteen wooden pillars in the mandapa.,NA,NA,Balannavar R.G; 1994 The Report Of The Archeological Regional Survey Of The Hubli Taluk M. A.  Dissertation Karnataka University Dharwad.,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Veerabhadra Temple.pdf,images/Dharwad/Veerabhadra Temple.jpg,images/temple_.png
15,Veerabhadra Temple,Unkal,Hubballi,Dharawad,Inside the Village,15.378282,75.116277,NA,NA,East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Veerabhadra Temple.pdf,images/Dharwad/Veerabhadra Temple.jpg,images/temple_.png
16,Basavana Temple,Budanagudda,Kalaghatgi,Dharawad,Adjacent to the Village Boundarey,15.293392,75.050338,NA,NA,East,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Basavana Temple.pdf,images/Dharwad/Basavana Temple.jpg,images/temple_.png
17,Kalmeshwara Temple,"Kamadhenu
",Kalaghatgi,Dharawad,Adjacent to the Village,15.223702,75.042562,NA,NA,East,NA,12th century ,AD,NA,NA,NA,NA,NA,NA,Maganur B.K. 1996 Kamadhenuondu Sanskritika Adhyayana ( In Kannada) M. A. Dissertation Karnataka University Dharwad,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Kalmeshwara Temple.pdf,images/Dharwad/Kalmeshwara Temple.jpg,images/temple_.png
18,Rameshwara Temple,Mishrikot,Kalaghatgi,Dharawad,Adjacent to the Village,15.247078,75.06247,NA,NA,East,NA,11-12th century ,AD,NA,Later Chalukyan,Dolerite Schist,This east-facing temple consists of a garbhagraha antarala sabhamaandapa and Mukhamandapa. The garbhagraha has a Sivalinga. The doorframe of the garbhagraha is trishakha. There are four free standing pillars in the sabhamandapa. The lower portion of the pillars is decorated with richly carved sculptures. Inside the sabhamandapa are nine devakosthas. The sculptures of Mahishamardhini saptamatraka surya and kartikeya are kept in the devakosthas. The temple has a adhisthana. In the centre of the sabhamanda is a seated Nandi. In front of the temple is an inscription dated 1136-38 A.D. It registers the gift of land grant by bagiyara bachanna to the god machesvaradeva. ,NA,NA,JAYAMMA B. 2002 KALGATAGI PRADESADA PURATATVA (IN KANNADA) M.PHIL DISSERTATION KARNATAKA UNIVERSITY DHARWAD.,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Rameshwara Temple.pdf,images/Dharwad/Rameshwara Temple.jpg,images/temple_.png
19,Kalmeshwara Temple,Chikkanarti,Kundgol,Dharawad,Adjacent to the Village,15.29559,75.30715,NA,NA,East,NA,17-18th century,AD,NA,Post Vijayanagar,Black Stone,This modern temple faces east. It consists of a garbhagraha and mandapa. The garbhagraha contains a udbhavalinga. The temple is built with Mud and brick. An inscription is found in front of the Kalmesvara temple which is completely worn out. But the upper portion of the inscription consists of image of Nandi and cow-feeding calf is represented.,NA,NA,MAYAGERI D. M. 1993 ARCHAEOLOGICAL REMAINS IN EASTREN PART OF KUNDGOL A STUDY (M. A. DISSEREATION) KARNATAKAKA UNIVERSITY DHARWAD.,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Kalmeshwara Temple.pdf,images/Dharwad/Kalmeshwara Temple.jpg,images/temple_.png
20,Shambulinga Temple,Kundagol,Kundgol,Dharawad,Inside the Village,15.256942,75.24509,NA,NA,East,NA,11-12th century ,AD,NA,Later Chalukyan,Dolerite Schist,The temple consists of a garbhagraha an antarala and sabhmandapa. In the garbhagraha is a Sivalinga. The door frame of the garbhagraha is of panchasakha order. In the lalatabimba of the garbhagraha door frame is a tiny Gajalakshmi bimba. The antarala has two devakosthas. The door frame of the antarala is chatusakha. The antarala has Jalavatayanas. In the sabhmandapa are four free standing pillars. The ceiling is set with Nataraja and Asta dikpalas. There is a Kaksasana around the open sabhamandapa. The exterior of the Kaksasana is decorated with richly carved sculptures. The Prakara has Marathi inscription. It records the renovation of the temple in 1867 A. D.  ,NA,NA,DHAKY N. A. 1996 ENCYCLOPEDIA OF INDIAN TEMPLE ARCHITCTURE INSTITUTE OF AMERICAN STUIES NEW DELHI.  DHAKY N. A. 1996 ENCYCLOPEDIA OF INDIAN TEMPLE ARCHITCTURE INSTITUTE OF AMERICAN STUIES NEW DELHI.  ,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Shambulinga Temple.pdf,images/Dharwad/Shambulinga Temple.jpg,images/temple_.png
21,Kalleshwara Temple,Navalli,Navalgund,Dharawad,Inside the Village,15.549471,75.478094,NA,NA,East,NA,12th century ,AD,NA,Later Chalukyan,Black Stone,This east-facing temple comprises a garbhagraha antarala and sabha mandapa. The garbhagraha contains a Sivalinga. The ceiling of the antarala has Padma motif. On either side of the antarala are jalavataiyanas. There are four free standing pillars in the sabhamandapa. Inside the sabhamandapa are devakosthas bearing sculptures of Sivalings Veerabhadra Veeranarasimha and Mukambika. The exterior of the temple is white washed. The superstructure of the temple is of Kadambanagara or phamsana form. It seems that the temple belongs to 12th century A. D.,NA,NA,TEGGINAHALLI D.Y.; 1994 MALAPRAPHA NADIYA UPANADIGALA SUTTAMUTTA PRACHAYAVA SHESAGALU. (IN KANNADA) M.PHIL. DISSERTATION KARNATAKA UNIVERSITY DHARWAD,Department of Archaeology Museums and Heritage Mysuru,images/Dharwad/Pdfs/Kalleshwara Temple.pdf,images/Dharwad/Kalleshwara Temple.jpg,images/temple_.png
