SL_no,Name,Place,Taluk,District,Location,Latitude,Longitude,Classification,Category,Orientation,Dedication,Period,AD_BC,Dynasty,Style,Material,Description,Sub_Monuments,"Paintings
",Inscriptions,SculptorArtist,Published_By,Importance,Protected_by,PDFLink,ImageURL,iconUrl
11,Lakshmikanta Temple (Adjoining temples  Mantapas  sandal wood door for sati shrine),Kalale,Nanjangud,Mysore,Temple in the Village,12.072798,76.66007,Living Structure,B,East ,Vishnu-Narayana,14th century AD,AD,Hoysala-Vijayanagara,Dravida,Brick  lime mortar  stone,Lakshmikantha Temple at Kalale appears to have been constructed in three stages in about 1300 AD to .J 700 AD. The temple consists of girbhagriha  sukanasi and Navaranga. Mukhamantapa seems to be of later addition. The temple has cylindrical pillars in Navaranga and its outer walls are decorated with row of pilasters and a dentil cornice in the middle belonged to the late Hoysala period. The temple now to apparently enlarged during the Vijayanagar and Kalale Dalavai periods. The central image is Narayana in Hoysala style. The prakara of the temple has the shrines of Desika  Jiyar and Hanuman. The Navaratri mantapa  Krittikoteswara mantapa and a small vasantamantapas around. About 100 yards to the Lakshmikantha Temple is a Sati temple known as Ittigemalagamma Shrine  Malagamma was lady of Dalvoy family  self immolated herself. The shrine has a large several wood door carved with relief’s depicting wife and husband in embraced mood.,In the village are found the temples of Someshwara  built is about 1500 AD. Temple dedicated Amriteshwari  and Panchalinga built by the Dalvoys. There is also a Veerashaiva temple and matha called Ravanasiddeshwaramatha.,Nil,Fragmentary record 12th-13th century  character refers to Rajarajapura.,Nil,Mar 1934 p.54-59  Mar 1945 p.52,Archaeological,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Lakshmikantha Temple.pdf,images/Mysore/Lakshmikantha Temple.jpg,images/temple_.png
12,Lakshmi Ramana Swamy Temple,Palace Fort,Mysore,Mysore,Inside the Palace Fort,12.304903,76.653094,Living Temple,A,West,Lakshmi Ramana,Before 1499 A.D,AD,Wodeyars ,Vesara,Nil ,The Lakshmiramana temple inside the Palace Fort  described as Nambinarayana of Chola times  is said to have existed before 1499 A.D. The Garbhagriha contains the 1 mt. high Vishnu image. The cell to the right has a seated image of Aravinda Lakshmi along with the figure of Venugopala. The temple has a enclosure wall  with a 5-storied Gopura Surmounted with 5 Kalasas. According to the Annals of the Mysore Royal Family  Dalvoy Nanjarajaya bribed the temple priest Srinivasaiah to poison the king. But the king had a miraculous escape. As such  he constructed both the mahadwara and the gopura as a mark of his devotion. This temple was also the venue for religious ceremonies held during the coronation of Krishna Raja Wodeyar III in 1799.,Nil,Nil,Now 30 1851 Krishnarajaodeyar III renovated doorway ,Nil,Naga Chandrika  Ed. By D.V.Devaraj  “ Historic Buildings of Mysore” by Dr. M.S. Nagaraja rao  Mysore.  Directorate of Archaeology and Museums. 1996 pages 558 & 559 Mar 1912 page 20,Religious,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Lakshmi Ramana Swamy Temple.pdf,images/Mysore/Lakshmi Ramana Swamy Temple.jpg,images/temple_.png
13,Mahalingeshwara Temple,Varuna,Mysore,Mysore,Nil,12.305631,76.657578,Living Temple,A,East,Nil,9th century A.D,AD,Gangas,Gangas,Nil,The Mahalingeshwara temple  also known as Bhuteshwara temple  is of considerable antiquity. This Ganga construction consists of a small garbhagriha  a sukhanasi  a navaranga supported by 12 finely carved pillars and an outer pavilion. Among the notable sculptures found in the temple  the image of Mahishasuramardini  the Saptamatrika (7-goddesses) and the scenes from Ramayana are fascinating.,Nil,Nil,Nil,Nil,Rao  S.K. Ramachandra “Art and Architecture of Indian Temples” vol III ,Archaeological,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Mahalingeshwara Temple.pdf,images/Mysore/Mahalingeshwara Temple.jpg,images/temple_.png
14,Mulastaneshwara Temple,Tagduru,Nanjanagud,Mysore,Tagadur 14 kms from Nanjagud,12.268208,76.616185,Non-Living Temple,A,North,Mulasthaneshwara,16th Century AD,AD,Ummatur Chiefs ,Chola/Dravida ,Nil ,Tagadur  also called 'Tagadurusthala' or 'Hiriya mahanadu' was a major administrative unit  ruled by a feudatory family The Mulasthaneshwara temple  to the north of the village  has a garbhagriha  sukhanasi  navaranga and an ardhamantapa in the front. However  the navaranga is separate with a narrow vestibule leading to the huge Mukhamantapa It is supported by cylindrical pillars An interesting feature of the temple is that the Shivtinga is placed in the Sukhanasi (vestibule) instead of the Moola Garbhagriha. There is also a well-ornamented standing image of Vishnu with Chola features. Near this is the large 1 mt. high image of Veerabhadra.,To the left of the main sanctum is the dilapidated Parvati shrine with a Mukhamantapa  in Vijayanagar style. To the north of the Mulasthaneshwara temple  is an empty dilapidated structure.,Nil,14 Century records “Sanyasana” death of a Jain female ,Nil,Karnataka State Gazeteer. Mysore District Ed. By suryanath U.Kamath  Bangalore. Government of Karnataka publication  1988 page 919,Archaeological,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Mulastaneshwara Temple.pdf,images/Mysore/Mulastaneshwara Temple.jpg,images/temple_.png
15,Nageshwara Temple,Hedatale,Nanjungud,Mysore,Temple on the bank of Gundal (Kaudini),12.055368,76.737898,Non-Living Temple,A,East,Nageshwara,A.D,AD,Hoysala,Hoysala / Vesara,Granite and Stone ,The Nageshvara temple is a Hoysala structure built in granite. It consists of a garbhagriha  a sukhanasi  a navaranga  a mukhamantapa and a porch This dilapidated temple with a stone tower is similar to the Lakshmikanta temple (at Hedatale). The navaranga ceilings  about l' deep  are carved with lotuses  and the 3' deep central ceiling is weH carved with a long pendant lotus bud. A 4' high Vishnu figure stands near a hedge to the west of Gaurimada Ranganayaka's field.,Nil,Nil,A new Tamil inscription discovered near the temple,Nil,Mar 1918  pages 26,Archaeological,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Nageshwara Temple.pdf,images/Mysore/Nageshwara Temple.jpg,images/temple_.png
16,Nandi Bull,Chamundi Hill,Mysore,Mysore,On 800th step of the summith 13 kms east of Mysore,12.279605,76.667997,Living Temple,A,South,Nandi,1659 A.D,AD,Dodda Devarajaodeyar,Vesara ,Granite ,Nandi or the Colossal Bull  considered the vehicle of lord Siva  is one of the largest bulls in India. The sculpture in the round  a 4 -8 meters high monolith  situated on the 800th step of the Chamundi hill  is 300 yrs old. It is 24' long  10' wide and 11' high  and is seated on a platform. The Bull  created during the reign of Dodda Devaraja Odeyar  is remarkable for its meticulous craftsmanship and ornamentation -the well-carved anklets and the magnificent pendant bell around its neck are exquisite.,Nil,Nil,Nil,Nil,Mar 1912 page 20 Lonely planet: south India  II Edition  Lonely Planet publications pvt. Ltd Australia,All,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Nandi Bull.pdf,images/Mysore/Nandi Bull.jpg,images/temple_.png
17,Narayanaswami Temple,Suttur,Nanjangud,Mysore,Suttur is 9 miles east of Nangangud on the banks of Kapini,NA,NA,2,,NA,Narayana,1169 A.D,AD,Hoysala Narasimha I ,Hoysala/Vesara,Granite and Bricks,The Narayanaswami temple with a brick tower  a navaranga and a porch  is the oldest temple in Suttur. The garbhagriha and sukhanasi have ceiling of lotus buds and the outer walls bear pilasters and elegant turrets. The temple  built by Lakmayya  has a 4' high image of Varadaraja in high relief: It is also called Nagaresava in the inscription. The temple is a minor structure with beautiful lotuses  cruciform corner pilasters and a fine soapstone doorway. The front porch has a 9-panelled ceiling stone with dancers and elephants  which is an interesting design different ftom the usual Dikpala flat panel. The outer face of the double wall is ornamented with niches under finely carved canopies.,Nil,Nil,Nanjanagud 175 states temples was built by Lakmayya,Nil,"Mar 1944 page 19
Mar 1918 page 24",Archaeological,ASI  Bangalore,images/Mysore/Pdfs/Narayanaswami Temple.pdf,images/Mysore/Narayanaswami Temple.jpg,images/temple_.png
18,Prasanna Krishnaswamy Temple,Mysore Fort,Mysore,Mysore,With in palace fort,12.304587,76.654545,1,A,NA,Krishna,1829 A.D,AD,Krishnaraya Wodeyar III,Vesara,Nil,The Prasanna Krishnaswamy temple  built by Krishnaraja Wodeyar III comprises about 40 inscribed metalic images of gods  goddesses  saints and sages. In the sanctum-sanctorum is an image of lord Krishna made of Chlorite Schist. On the exterior of the temple is the sculpture of sage Atri. Like Varahaswamy temple this temple is also known for the murals on the walls of the navaranga. The murals depict stories &om Bhagavatha. The murals of this temple and of Varahaswamy Temple are excellent examples of 19 Century Mysore paintings.,Nil,Nil,Name of the image gifted by Krishnaraja Wodeyar III,Nil,"Mar 1919 pages 18
Mar 1920 pages 2 & 3",Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Prasanna Krishnaswamy Temple.pdf,images/Mysore/Prasanna Krishnaswamy Temple.jpg,images/temple_.png
19,Ramanujacharya Temple,Saligrama,Krishnaraja Nagar,Mysore,Saligrama  18 kms from K.R.Nagar,NA,NA,Non-Living Temple,A,East,Ramanujacharya,A.D,AD,Hoysala,Hoysala / Vesara,Granite and Stone,The Ramanujacharya temple is a large structure comprising several small shrines within a stone prakara. This plain structure has a garbhagriha  a sukhanasi and 2 navarangas with granite pillars. In the centre of the garbhagriha is a high pedestal bearing 2 relievo impressions of Ramanujacharya's feet on which are the figures of 8 of his disciples. The panel behind the wall has T engale  Sri Vaishnava cast mark  flanked by Sankha and Chakra. One of the most striking features of this temple is the prakara wall with a parapet of round discs. Before the temple is the Sripadathirtakola. Among the shrines in the enclosure are the Vaduganambi and Mudaliyandan shrines,Nil,Nil,12th Century on door lintel records Ramanujacharya’s Visit,Nil,"Mar 1913 page 16 
Mar 1936 page 6  ",Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Ramanujacharya Temple.pdf,images/Mysore/Ramanujacharya Temple.jpg,images/temple_.png
20,Rameshwara Temple,Matakere,H.D.Kote,Mysore,Situated about 29 miles south west of Mysore,12.085918,76.38482,2,B,NA,Shankaranarayana,A.D,AD,Kulottunga Chola,Chola/ Dravida,Nil,The Rameshwara temple  at the confluence of Taraka and Kapila rivers  was constructed in 3 stages: Among the linga cells on the West in the prakara  the cell containing a 4' high image of Shankaranarayana in the abhaya mudra is important. It is a fine specimen of the Harihara form of images  popular in the Chola period. Likewise the 4' high image of the goddess of the temple is also significant. In the garbhagriha is a linga. In the navaranga are the figures of Ganesha  Surya  Chandra and Durga. It is approached by a flight of steps and is supported by 4 central pillars.,The Parvati shrine bearing the beautiful image of the goddess constitutes a mukhamantapa and the kalyana mantapa. This simple shrine belongs to the Vijayanagar period.,Nil,Kulattunga Chola’s inscr. Found in the village,Nil,"Mar 1913 pages 21 & 22
Mar 1937 pages 3 & 4",Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Rameshwara Temple.pdf,images/Mysore/Rameshwara Temple.jpg,images/temple_.png
21,Sand Dunes (Maralu Dibbagalu),Talkad,T.Narasipura,Mysore,50kms south East of Mysore,12.179482,77.024913,Places,A,East,Nil,17 Century  A.D,AD,Raja Wodeyar,Vesara,Sand  ,The formation of Sand Dunes at Talkad is a rare & unique phenomenon Many geographical factors contribute to this. The Mudukutore hill blocks the flow of Cauvery forcing the river to change its course and takes a sudden bend 90. at the point of Malingi town. This results in excessive sand deposition. Gradually Malingi is moving backwards owing to rapid soil erosion The swift waters have disintegrated with the boulders in the river resulting in a whirlpool. The 14 layers of sand on S-E or beward side is 6.80 mts. high. As per traditional belief the 3 curses given by Alamelamma to Raja Odeyar has resulted in the formation of sand dunes at Talkad. Stratigraphic and numismatic evidence conclusively proves that sand began to accumulate during the late Vijayanagar period  i.e  17th C They are cleared once every 12 years for exposing the buried temple for Panchalinga Darshana. The sand at the dune is of uniform size  and of superfine quality.,Nil,Nil,70 inscription 19 Hoysala and 13 Chola ,Nil,Archaeological Excavations at Talkad (1992-93) Vol I  Mysore: Directorate of Archaeology and Museums  1996,Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Sand Dunes (Maralu Dibbagalu).pdf,images/Mysore/Sand Dunes (Maralu Dibbagalu).jpg,images/temple_.png
22,Someshwara Temple,Suttur,Nanjangud,Mysore,9 miles east of Nanjangud on the banks of Kapini,NA,NA,Non-Living Temple,A,East,Nil,A.D,AD,Hoysala Narasimha I ,Hoysala / Vesara,Granite and Potstone,The Someshvara temple is a triple-shrined structure comprising of a central hall and a front hall. In the west cell is the Someshvara linga  while the south cell contains a beautiful image of Sankaranarayana.This 5' high image which has a torana is flanked by the figures of Shiva and Vishnu  the pedestal bears the images of bull and Garuda together. The north shrine contains Saptamatrikas along with the figure of Chamunda to its west. The sanctum and Sukhanasi have finely carved lotus ceilings. The Navaranga has bell-shaped pillars and the Trimurtis are depicted on the doorway. The ornate tower of the temple is finely designed with Soapstone sculptures,A small mantapa before the temple has 4 vase-shaped pillars. On the pillars of this shrine are 2 votive sculptures of a father and a son draped in religious attire. To the right of the Someshvara temple is a small shrine of Mulastaneshvara linga.,Nil,In Chola I dated 1032  Suttur is called ‘Srotriyur’ ,Nil,"Mar 1918 pages 24
Mar 1944 pages 20 & 21",Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Someshwara Temple.pdf,images/Mysore/Someshwara Temple.jpg,images/temple_.png
23,Cheluvarayaswamy Temple,Marse,Mysore,Mysore,South East end of Village,NA,NA,Non-Living Temple,C,East North,Hanuman-Virabhadra,16th century A.D,AD,Vijayanagara,Dravida,Stone,Marse  a small village on the way to Nanjangud about 8 kms from Mysore. There are temples of Hanuman and Virabhadra. Hanuman temple is situating on the North eastern end of the village. It is a non living temple. The temple is in dilapidated condition. Virabhadra temple is fairly a new temple  houses an old image of Virabhadra. Besides there are some stray sculptures strewn in the village.,Nil,Nil,Fragmentary inscription refers to grants ,Nil,NA,Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Cheluvarayaswamy Temple.pdf,images/Mysore/Cheluvarayaswamy Temple.jpg,images/temple_.png
24,Trineshwara Temple,Palace Fort,Mysore,Mysore,Inside the Palace Fort ,12.305631,76.657578,Living Temple,A,West,Trinabindu,Circa 18th Century A.D,AD,Nil,Vesara,Nil,The Trineshwara temple is a large structure with a Prakara (enclosure) and a Mahadvara with a lofty Gopura. The 2 niches within the Mahadvara enshrine figures of Ganesha and Bhairava. In the northwest of the Prakara a number of Naga stones are set up beneath a Pipal tree. They are well-carved with a linga or a figure of Krishna at the top. The Prakara is surrounded by severallingas and shrines dedicated to various dieties. The Navaranga has 2 entrances. To the left of the Sukhanasi entrance is a 1 Y2' high image of sage Trinabindu and the god Trineshwara is named after him. The shrine facing the south entrance contains the processional image. In a niche in the Prakara are two standing figures representing the kings  Kantirava Narasaraja Wodeyar and Dodda Devaraja Wodeyar.,Nil,Nil,Nil,Nil,Mar 1916 pages 27 and 28,All,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Trineshwara Temple.pdf,images/Mysore/Trineshwara Temple.jpg,images/temple_.png
25,Varadarajaswami Temple,H.D.Kote,Hegganadevankote,Mysore,H.D.Kote on the left bank of river Taraka,12.086732,76.326723,Living Temple,A,East,Varadaraja,Saka 820 A.D,AD,Nil,Vesara,Nil ,The Varadarajasvamy temple  a large structure with a lofty Mahadwara  consists of a garbhagriha  sukhanasi and a navaranga. The outer walls of the garbagriha and sukhanasi have pilasters and niches at intervals. Two elegantly executed pilasters on the north and south are each surmounted by a pavilion containing figures of animals. The gilt kalasa bears an inscription in inverted characters  which have to be read with the help of a mirror Accordingly  the kalasa was presented by the Palegar Heggode. Among the noteworthy articles in the temple is the big brass lamp in 9 tiers. The goddess of the temple is a seated figure with a bowed-head. The sukhanasi and the outer walls are decorated in different colours. The 4' high exquisite sculpture of Varadaraja is housed in the garbagriha. In the navaranga are the several sculptures of Alvars,Nil,Nil,Inverted Characters on Kalasa,Nil,Mar 1913 page 21,Archaeological ,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Varadarajaswami Temple.pdf,images/Mysore/Varadarajaswami Temple.jpg,images/temple_.png
26,Varahaswami Temple,Palace Fort,Mysore,Mysore,Near the south gateway of the palace fort ,12.303816,76.65577,Living Temple,A,West,Varahaswami,1809 A.D,AD,Chikka Devarajaodeya,Hoysala / Vesara,Granite,The shrine of the goddess in the Varahasvami temple is a very good example of Hoysala workmanship. The temple  with an elegantly carved doorway  well executed pillars and a lofty tower  is an important monument King Chikka-Devaraja Wodeyar  after having procured the stone image of Shveta-Varahasvami from Srimushnam  installed it in this temple. However  Divan Purnaiya is believed to have built the temple. The 2 inscribed images of the Acharayas  Desikar and Jiyar  also known as Vedantacharya and Varavaramuni respectively  are kept in this temple. It also has a fine gopura at the entrance with beautiful stucco-work.,Nil,1865 Painting  “Rama pattabhisheka “ inside the Praka,Chikka Devaraja Odeyar gifted the Virgraha,Nil,Mar 1918 page 29,Religious,State Department of Archaeology and Museums  Mysore,images/Mysore/Pdfs/Varahaswami Temple.pdf,images/Mysore/Varahaswami Temple.jpg,images/temple_.png
