SL_no,Name,Place,Taluk,District,Location,Latitude,Longitude,Classification,Category,Orientation,Dedication,Period,AD_BC,Dynasty,Style,Material,Description,Details_of_Inscriptions,SculptorArtist,Published_By,Importance,Protected_by,PDFLink,ImageURL,iconUrl
11,Large Bijapuri arch and Afzal Khan’s Mosque inside the Dargah premises,Dargah Sheriff,Kalaburagi,Kalaburagi,NA,17.3206,76.8165,NA,NA,NA,NA,Middle of the 17th century A.D,NA,NA,Bijapur,Stone Brick and Mortar.,The mosque is a typical Bijapur example with the two thin side minarets. The stone chains hanging from the chajja resemble very much the magnificent stone chains hanging from the chajja and minarets of the Kali Masjid at Lakshmesvar (Dharwar District) which are carved out of single block of stone. The mosque is noted for the carvings of the pedestals and its stucco decoration. It consist of a single hall measuring of about 7.3 m x 4.6 m.,NA,NA,NA,a) Indian Islamic Architecture – The Deccan Elizabeth Schotten Merklinger (1347-1686) England 1981. p. 127.b) Annual Report of the Archaeological Departmetn of H.E.H. The Nizam's Dominion 1925-26. p. 8.,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Large Bijapuri arch and Afzal Khan’s Mosque inside the Dargah premises.pdf,images/Kalaburgi/Large Bijapuri arch and Afzal Khan’s Mosque inside the Dargah premises.jpg,images/mosque.png
12,Mahishasura Temple,Chinchanur,Aland,Kalaburagi,NA,17.5212,76.7855,NA,NA,NA,NA,NA,NA,NA,NA,Stone Brick and Mortar.,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Mahishasura Temple.pdf,images/Kalaburgi/Mahishasura Temple.jpg,images/temple_.png
13,Bahamani Eidgah Maidan,Kalaburagi,Kalaburagi,Kalaburagi,NA,17.3444,76.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Bahamani Eidgah Maidan.pdf,images/Kalaburgi/Bahamani Eidgah Maidan.jpg,images/tomb.png
14,Ramalingeshwara Temple,Mogha,Chinchanur,Kalaburagi,NA,17.4457,77.2223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Ramalingeshwara Temple.pdf,images/Kalaburgi/Ramalingeshwara Temple.jpg,images/temple_.png
15,Ramalingeshwara Temple Hodal,Hodal,Aland,Kalaburagi,NA,17.5627,76.8355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Ramalingeshwara TempleHodal.pdf,images/Kalaburgi/Ramalingeshwara Temple Hodal.jpg,images/tomb.png
16,Panchalinga Temple,Sedam,Sedam,Kalaburagi,NA,17.1779,77.2924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Panchalinga Temple.pdf,images/Kalaburgi/Panchalinga Temple.jpg,images/temple_.png
17,Gumta,Andola,Jewargi,Kalaburagi,NA,16.9502,76.8378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Gumta.pdf,images/Kalaburgi/Gumta.jpg,images/tomb.png
18,Tomb of Qalandar Khan,Kalaburagi,Kalaburagi,Kalaburagi,NA,17.3273,76.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Tomb of Qalandar Khan.pdf,images/Kalaburgi/Tomb of Qalandar Khan.jpg,images/tomb.png
19,Ismail Mokh s Mosque and Tomb,Kalaburagi,Kalaburagi,Kalaburagi,NA,17.3446,76.8231,NA,NA,NA,NA,NA,NA,NA,Bahmani,Stone Brick and Mortar.,"It is a converted mosque in ""pillar and lintel"" style. Behind the mosque on an open platform are the graves of Ismail Mokh and his wife.",NA,NA,NA,Antiquarian Remains in Hyderabad State Government of Hyderabad 1953 p.13.,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Ismail Mokh s Mosque and Tomb.pdf,images/Kalaburgi/Ismail Mokh s Mosque and Tomb.jpg,images/tomb.png
20,Shah Bazar mosque and Hummam,Kalaburagi,Kalaburagi,Kalaburagi,NA,17.3498,76.8282,NA,NA,NA,NA,1358-75,14th century A.D,NA,Bahmani,Stone Brick and Mortar.,The plan of the mosque consists of an enclosed court with a specimen prayer hall which is divided into ninety square bays by the insertion of square masonry columns. The ceiling is divided into an equal number of domes which are rather of small size. The facade of the prayer hall is pierced with fifteen arched openings which are of very pleasing proportions. The building has decoration and its internal appearance is somewhat squat.The hammam here is the earliest in the deccan. The bath with in the palace area has a dome surrounded by low pyramidal vaults. Chambers used for disrobing and bathing still preserve the original plaster work. This hammam was probably intended for members of Firuz's private household in contract to the more decayed both of similar design east of the royal area designated for public use.,NA,NA,NA,Annual Report of the Archaeological Department of H.H. The Nizam’s Dominions 1916 Calcutta 1914-15 p. 8 1925-26 p.3b) Antiquarian Remains in Hyderabad State 1953 Hyderabad p.13.c) Indian Islamic Architecture. The Deccan 1347-1686. Elizabeth Schotten Merklinger p.108.d) Gazetteer of India Karnataka State Gulbarga district Ed. M.B.Patil p.711. 1997e) The New Cambridge History of India. Vol-VII. Cambridge University Press 1999 George Michel and Mark Zebrowski. pp. 28-29.,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Shah Bazar mosque and Hummam.pdf,images/Kalaburgi/Shah Bazar mosque and Hummam.jpg,images/mosque.png
21,Tomb of Alla-udin Hassan Gangu Bahamani,Bahamanipur,Kalaburagi,Kalaburagi,NA,17.3443,76.8237,NA,NA,NA,NA,(1347-58) A.D,NA,NA,Tuglaq style,Stone Brick and Mortar.,The tomb of All uddin in its architecture is not imposing enough for the tomb of a monarch. The plan of the building comprisk a square hall (about 12.3 sq.) built on a platform which is about 1m high from the surrounding ground. The hall is crowned by a flat shaped dome of the Tughlaq type. The height of the walls from the platform is about 6.1 m and at the top turn or bordered by a parapet of arch-heads with ornamented finials at the four corners. The interior of the tomb is interred by the arched doorways towards the North West and South the western side being occupied by the preys niche (mihrab) is closed. The interior of the tomb is square at the base is about 8 m each way but ling her up it becomes octagonal in arches to better soil the ring of the dome. Insertion of squinches in the four corners. The walls have in decoration except a band of deep blue enamel files arrange in the form of orbs and diamonds occurring alternatively. Below the dome are three graces one in the middle and the other two for the west of it. The middle grave is said to be that of Alauddin Hassan Bahmani. It has a caskel shaped sarco plagus of polished black stone.,NA,NA,NA,a) Tuglaq style Gazetteer of India – Mysore State;(Kannada) Gulbarga District Bangalore 1997. pp. 711.b) Percy Brown Indian Architecture (Islamic Period) 6th Reprint Bombay 1975. p. 69.c) Report of the Archaeological Department of His Exalted Highness The Nizam’s Dominions Calcutta 1925 –26 (1928). pp. 1-,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Tomb of Alla-udin Hassan Gangu Bahamani.pdf,images/Kalaburgi/Tomb of Alla-udin Hassan Gangu Bahamani.jpg,images/tomb.png
22,Brahma Vishnu Maheshwara Temple,Nagai,Chitapur,Kalaburagi,NA,17.1032,77.0899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Department of Archaeology Museums and Heritage Mysuru,images/Kalaburgi/Pdfs/Brahma Vishnu Maheshwara Temple.pdf,images/Kalaburgi/Brahma Vishnu Maheshwara Temple.jpg,images/temple_.png
