SlNo,Name,Place,Taluk,District,Latitude,Longitude,Description,PDFLink,ImageURL,iconUrl
11,Sri Ramalinga temple,Muttagi,Bagewadi,Vijayapura,16.530559,75.886248,"The temple consists of a garbhagraha, antarala and an open Mukhamandapa. In the garbhagraha is a Sivalinga. There are four freestanding pillars in the sabhamandapa. The Mukhamandapa has three entrances. There is a Kakshasana around the Mukhamandapa. On stylistic grounds the temple belong to 12th century A.D.",images/Vijayapura/pdfs/Sri Ramalinga temple.pdf,images/Vijayapura/Sri Ramalinga temple.jpg,images/temple_.png
12,Shankarlingadeva temple,Agarakeda,Indi,Vijayapura,17.309372,76.059141,"This east-facing temple comprises a garbhagraha, antarala sabhamandapa and a modern mukha mandapa. In the grabhagraha is a Sivalings. The ceiling has a plain relief of Padma. The doorframe of the garbhagraha is trisakha. In the lalatabimba of the door frame of the garbhagraha is a tiny Ganesha motif. The antarala ceiling has a plain relief of Padma. The sabhamandapa has four freestanding pillars. There are eight devakosthas in the sabhamandapa. The renovated mukhamandapa stands on a high platform. The temple may have been built in the 13th centuryA. D.",images/Vijayapura/pdfs/Shankarlingadeva temple.pdf,images/Vijayapura/Shankarlingadeva temple.jpg,images/temple_.png
13,Shankarlingadeva temple Dhulked,Dhulked,Indi,Vijayapura,17.395746,75.853849,Shankarlingadeva temple is in Dhulked village of Indi taluk in Vijayapura district.,images/Vijayapura/pdfs/Shankarlingadeva temple Dhulked.pdf,images/Vijayapura/Shankarlingadeva temple Dhulked.jpg,images/temple_.png
14,Revanasiddeshwara temple,Horatti,Indi,Vijayapura,17.112526,75.786615,"This temple consists of a gabhagraha, an antarala, a sabhmanadapa and a mukhamandapa. In the garbhagraha is an icon of Ganesha on the pitha. Originally there is a Sivalinga on it.  On either side of the antarala are Jalandharas. In the sabhmandapa are four freestanding pillars. The sabhmandapa doorframe is simple.  In front of the Mukhamandapa are inscription set up. There is also a bali pitha near by the inscriptions. Further in frornt of balipitha is a Makaratorana an attractive architectural part of the temple. Within the Prakara of the temple are many small shrines. It appears the temple was originally built in bricks.
This temple consists of garbhagraha and a sabhamandapa. A sivalinga is enshrined in the garbhagraha. In the sabhamandapa are four freestanding pillars. A Nandi image is at the centre of the sabhamanadpa. Inside the temple is a mutilated Durga sculpture. Outside the temple is an image of surya installed on a Visnu Pitha.",images/Vijayapura/pdfs/Revanasiddeshwara temple.pdf,images/Vijayapura/Revanasiddeshwara temple.jpg,images/temple_.png
15,Sri Durga devi temple,Masali,Indi,Vijayapura,17.060352,76.054748,"This temple consists of a garbhagraha, an antarala, a sabhmandapa and a mukhamandapa. A Durga idol is enshrined in the garbhagraha. Over the garbhagraha is a Sikhara. It contains many bas-reliefs of Chamundi in different postures. In front of the temple is a Simhamandapa. A loose is culture is in the Mandapa. The temple has a prakara wall.",images/Vijayapura/pdfs/Sri Durga devi temple.pdf,images/Vijayapura/Sri Durga devi temple.jpg,images/temple_.png
16,Sangameshwara temple,Miragi,Indi,Vijayapura,17.18804,76.17885,"This is a trikuta temple. It comprises three garbhagrhas, an antarala and a sabhmandapa. Each garbhagraha houses a Sivalinga. In the sabhmandapa are four free standing pillars? The doorframe consists of three shaklhas of usual order. Inside the sabhamandapa are four devakosthas. In the sabhamandapa is an ornate Nandi. On the southern side of the percept that surrounds the temple is a big gateway and on the northern sides are steps leading the river Bhima, inside it are an open roofed Verandha supported by many pillars. To the north –east of the temple is a small shrine facing south and on the western wall exterior are slabs of two Viragals of usual type and a Naga sculpture. Over the garbhagraha is superstructure of later period, stylistically it is of C.12-13th century A.D.",images/Vijayapura/pdfs/Sangameshwara temple.pdf,images/Vijayapura/Sangameshwara temple.jpg,images/temple_.png
17,Eshwara temple Nandaragi,Nandaragi,Indi,Vijayapura,17.200515,75.774418,Eshwara temple  is in Nandaragi village of Indi taluk in Vijayapura district.,images/Vijayapura/pdfs/Eshwara temple Nandaragi.pdf,images/Vijayapura/Eshwara temple Nandaragi.jpg,images/temple_.png
18,Maruthi temple,Nimbaragi,Indi,Vijayapura,17.24153,75.677083,This modern temple has a garbhagraha and mandapa. The garbhagraha contains a Maruti sculpture of later date. The large courtyard has many mandapas.,images/Vijayapura/pdfs/Maruthi temple.pdf,images/Vijayapura/Maruthi temple.jpg,images/temple_.png
19,Shivayogeshwara temple,Salotgi,Indi,Vijayapura,17.136625,76.019447,"The temple is in Indo-Islamic style. It consists of a garbhagraha and a mukhamandapa of later period. Originally the temple was a mosque. Later it was converted into a Siva temple by installing a Nandi in front of the garbhagraha. All the four corners of the Kapota portion has Nandi image. The garbhagraha walls have arch model projections. The superstructure of the temple is of dome type. On stylistic ground this temple resembles Islamic style. It has a prakara wall. Inside the prakara wall are many small rooms, which have arched facade.",images/Vijayapura/pdfs/Shivayogeshwara temple.pdf,images/Vijayapura/Shivayogeshwara temple.jpg,images/temple_.png
20,Shiva temple,Basarkod,Muddebihal,Vijayapura,16.397995,76.078431,"This is a trikuta temple. It comprises three garbhagrhas, each with an antaralas and a common sabhamandapa. The north facing garbhagrha enshrined a Sivalinga. Its doorframe is well decorated. On either side of it are saiva dvarapalas. The east and west facing garbhagrahas have Pitha without Linga. The doorframes of these garbhagrahas resemble the door frame of the north garbhagraha. In the sabhamandapa are four free standing pillars. In the mukhamandapa are two free standing pillars. The temple stands on an adhisthana. The exterior wall of the temple is decorated.",images/Vijayapura/pdfs/Shiva temple.pdf,images/Vijayapura/Shiva temple.jpg,images/temple_.png
21,Bhageshwara temple,Hirur,Muddebihal,Vijayapura,16.534357,76.246703,"This temple consists of a garbhagrAha, an antarala and a sabhamandapa. A Sivalinga is enshrined in the garbhagraha. The garbhagraha door frame has decorated sakhas. On either side of the antarala wall are jalandhras. In the sabhamandapa are four free standing pillars? Its walls are renovated. Over the garbhagraha is a superstructure of later date.",images/Vijayapura/pdfs/Bhageshwara temple.pdf,images/Vijayapura/Bhageshwara temple.jpg,images/temple_.png
22,Basavanna temple,Nalatwad,Muddebihal,Vijayapura,16.246095,76.29086,This temple consists of two garbhagraha an open antarala and a sabhamandapa. There is an open antarala in front of the east facing garbhagraha. The east facing garbhagraha has a Sivalinga. The navaranga has entrances on the north and the south. Both the garbhagrahs have sikharas.,images/Vijayapura/pdfs/Basavanna temple.pdf,images/Vijayapura/Basavanna temple.jpg,images/temple_.png
23,Shiva temple Nalatwad,Nalatwad,Muddebihal,Vijayapura,16.246317,76.290928,Shiva temple is in Nalatwad village of Muddebihal taluk in Vijayapura district.,images/Vijayapura/pdfs/Shiva temple Nalatwad.pdf,images/Vijayapura/Shiva temple Nalatwad.jpg,images/temple_.png
24,Veerabhadra temple,Nalatwad,Muddebihal,Vijayapura,16.245994,76.292185,This temple consists of a garbhagraha an anatarala and a sabhamandapa. Anjaneya idol is enshrined in the garbhagraha.,images/Vijayapura/pdfs/Veerabhadra temple.pdf,images/Vijayapura/Veerabhadra temple.jpg,images/temple_.png
25,Maruthi temple tumbgi,Tumbgi,Muddebihal,Vijayapura,16.578903,76.289753,Maruti temple is in Tumbgi village of Vmuddebihal taluk in Vijayapura district.,images/Vijayapura/pdfs/Maruthi temple tumbgi.pdf,images/Vijayapura/Maruthi temple tumbgi.jpg,images/temple_.png
26,Ramalingeshwara temple Chandkavathe,Chandkavathe,Sindagi,Vijayapura,16.962131,76.144154,The temple consists of a garbhagraha antarala and sabhamandapa. This temple is in most dilapidated condition. In the garbhagraha is a Sivalinga. The sabhamandapa has fallen. The exterior walls of the temple are decorated with richly carved sculptures. The Kadambanagara or phamsana Sikhara has fallen.,images/Vijayapura/pdfs/Ramalingeshwara temple Chandkavathe.pdf,images/Vijayapura/Ramalingeshwara temple Chandkavathe.jpg,images/temple_.png
27,Haggappaya temple,Devara hippargi,Sindagi,Vijayapura,16.818795,76.071945,The temple faces east. It has two vertical moldings at each front corner and three at each rear corner. The doorframe is plain. On either side of the doorway are dvarapalas. The front of the threshold has a carved relief of standing couple with folded hands. Over the garbhagraha is a modern Sikhara. In front of the shrince is a low plinth.,images/Vijayapura/pdfs/Haggappaya temple.pdf,images/Vijayapura/Haggappaya temple.jpg,images/temple_.png
28,Madivaleshwara temple,Devara hippargi,Sindagi,Vijayapura,16.817901,76.070874,"The temple consists of a garbhagraha and two mukhamamdapas, each with their arched façade, of Ashlar Masonry. The garbhagraha contains a face of the saint madivala. It is decorated with braze and silver. The front mukhamandapa is built perhaps by another devote sometime after the construction of the original structure containing a shrine and a mukhamandapa with arched façade. Otherwise, the three-arched façade for the inner mukhamandapa is superfluous. This madivalappa, the local people say, is the name celebrated madivalada machiah, one of the famous Shivasharanas of the 12th C.  A.D. And this is his birth  place.",images/Vijayapura/pdfs/Madivaleshwara temple.pdf,images/Vijayapura/Madivaleshwara temple.jpg,images/temple_.png
29,Mallaya temple,Devara hippargi,Sindagi,Vijayapura,16.818707,76.072693,"The temple faces north. It consists of a square hall with exactly similar rectangular side halls on each side and an octagonal shrine, on the southern side of it. Each side hall on the east, north and west has entrances. The doorframe on each side is plain. On either side of the doorway are dvarapalas. The lalatabimba contains a tiny Ganesha bimba. In front of the northern door is a small parapet with three openings each on one side for entrance. 4713151, 0798875",images/Vijayapura/pdfs/Mallaya temple.pdf,images/Vijayapura/Mallaya temple.jpg,images/temple_.png
30,Mallikarjuna temple,Devara hippargi,Sindagi,Vijayapura,16.83327,75.67393,"The temple faces west. It comprises a garbhagraha, antarala, sabhamandapa and mukhamandapa. In the garbhagraha is a Sivalinga. There are four freestanding pillars in the sabhamandapa. A Nandi of later date kept in the centre. The doorframe of the sabhamandapa consists of panchasakhars.  In the sabhamandapa is an inscription. The mukhamandapa has a kaksasana. The exterior walls are plain. Over the garbhagraha is renovated sikhara.",images/Vijayapura/pdfs/Mallikarjuna temple.pdf,images/Vijayapura/Mallikarjuna temple.jpg,images/temple_.png
31,Someshwara temple,Padaganur,Sindagi,Vijayapura,16.800389,76.014252,"This east facing temple consists of a garbhagraha, antarala, sabhamandapa and mukhamandapa. In the garbhagraha is a Sivalinga, locally called Somanatha. The doorframe of the garbhagraha is panchashakha. The sculpture of the Lalatabimba is unidentified. The antarala has tri-shakha doorframe. The ceiling is decorated with a Padma motif. There are four freestanding pillars in the sabhamandapa. Inside the sabhamandapa are six devakosthas. The mukhamandapa has fallen. The original doorframe is replaced by wooden doors. The Kakshasana of the Mukhamanda has fallen. The exterior plain walls have bhadra - salilantara. On the exterior walls of the garbhagraha are three devakosthas, the western and the southern being in a dilapidated condition.",images/Vijayapura/pdfs/Someshwara temple.pdf,images/Vijayapura/Someshwara temple.jpg,images/temple_.png
32,Kallalingeshwara temple,Devangaon,Sindagi,Vijayapura,17.175202,76.344123,"This Dvikuta temple faces east. It consists of two garbhagrahas, antarala, a common sabhamandapa and a mukhamandapa. In the garbhagraha is a Sivalinga. The doorframe of the garbhagraha is trisakha over the doorframe is sculpture of dancing Nataraja. There are four freestanding pillars in the sabhamandapa. The interior walls of the sabhamandapa have two empty devakosthas. In the centre of the sabhamandapa is a seated Nandi. The lalatabimba contains a tiny Ganesha Sculpture.",images/Vijayapura/pdfs/Kallalingeshwara temple.pdf,images/Vijayapura/Kallalingeshwara temple.jpg,images/temple_.png
33,Chabuk savarana darga,Vijayapura,Vijayapura,Vijayapura,16.844634,75.721227,Chabuk savarana darga is in Vijayapura city of Vijayapura taluk in Vijayapura district.,images/Vijayapura/pdfs/Chabuk savarana darga.pdf,images/Vijayapura/Chabuk savarana darga.jpg,images/mosque.png
34,Hanumantha temple,Torvi,Vijayapura,Vijayapura,16.826658,75.654629,Hanumantha temple is in Torvi village of Vijayapura taluk in Vijayapura district.,images/Vijayapura/pdfs/Hanumantha temple.pdf,images/Vijayapura/Hanumantha temple.jpg,images/temple_.png
35,Bali hanumantha temple,Mundapur,Vijayapura,Vijayapura,16.533043,75.59964,"In the out skirts of the village is a Hanuman temple of later date, locally called Bailu Hanumantanagudi. It is said that this Hanuman idol was brought from the village Bairige and installed in this temple. On either side of the Hanuman idol the sculptures of Linga and Ganesha was installed by the village elder Hariyappa Brahmana.",images/Vijayapura/pdfs/Bali hanumantha temple.pdf,images/Vijayapura/Bali hanumantha temple.jpg,images/temple_.png
36,Maleswamy temple,Bellehubbi,Vijayapura,Vijayapura,16.450978,75.601904,Maleswamy temple is in Bellehubbi village of Vijayapura taluk in Vijayapura district.,images/Vijayapura/pdfs/Maleswamy temple.pdf,images/Vijayapura/Maleswamy temple.jpg,images/temple_.png
37,Malikarjuna temple,Ankalagi,Vijayapura,Vijayapura,16.894131,75.976315,"This temple consists of a garbhagraha an antarala and a navaranga. There is a Linga in the garbhagraha. On the north and east side of the navaranga are small garbrhagrahas. The temple has an entrance on the south. Some noteworthy sculptures of this temple is Ganapati, Mahishamardini, Vishnu, Sarasvati, Surya, Saptamatrike panel and Naga sculpture.",images/Vijayapura/pdfs/Malikarjuna temple.pdf,images/Vijayapura/Malikarjuna temple.jpg,images/temple_.png
38,Sideshwara temple,Babaleshwara,Vijayapura,Vijayapura,16.667882,75.57373,The temple consists of a garbhagrabha and mukhamandapa. The lalatabimba of the garbhagraha doorframe contains a tiny Virabhadra motif. The pillars of the mukhamandapa are decorated with richly carved sculptures. The temple has large prakara. It seems the temple was built in 1780 A. D.,images/Vijayapura/pdfs/Sideshwara temple.pdf,images/Vijayapura/Sideshwara temple.jpg,images/temple_.png
39,Mahipatieswamy temple,Kakhandaki,Vijayapura,Vijayapura,16.598846,75.637911,The garbhagraha enshrined a Sivalinga on a pitha. Over the Sivalinga is a five-hooded serpent of Panchaloha. The garbhagraha has a pradaksinapatha.,images/Vijayapura/pdfs/Mahipatieswamy temple.pdf,images/Vijayapura/Mahipatieswamy temple.jpg,images/temple_.png
40,Mallikarjuna temple Kakhandaki,Kakhandaki,Vijayapura,Vijayapura,16.600767,75.640392,The garbhagraha enshrined a Sivalinga on a pitha. Over the Sivalinga is a five-hooded serpent of Panchaloha. The garbhagraha has a pradaksinapatha.,images/Vijayapura/pdfs/Mallikarjuna temple Kakhandaki.pdf,images/Vijayapura/Mallikarjuna temple Kakhandaki.jpg,images/temple_.png
41,Sangameshwara temple Kakhandaki,Kakhandaki,Vijayapura,Vijayapura,16.601322,75.639695,Only the garbhagrha has remained. It enshrined a Sivalinga on a pitha. Over the Sivalinga is a seven-hooded serpent of brass.,images/Vijayapura/pdfs/Sangameshwara temple Kakhandaki.pdf,images/Vijayapura/Sangameshwara temple Kakhandaki.jpg,images/temple_.png
42,Veerabhadra temple Kakhandaki,Kakhandaki,Vijayapura,Vijayapura,16.599427,75.639611,Veerabhadra temple is  in Kakhandaki village of Vijayapura taluk in Vijayapura district.,images/Vijayapura/pdfs/Veerabhadra temple Kakhandaki.pdf,images/Vijayapura/Veerabhadra temple Kakhandaki.jpg,images/temple_.png
43,Tajbavadi,Vijayapura,Vijayapura,Vijayapura,16.825638,75.709676,Tajbavadi is in Vijayapura city of Vijayapura taluk in Vijayapura district.,images/Vijayapura/pdfs/Tajbavadi.pdf,images/Vijayapura/Tajbavadi.jpg,images/mosque.png
