SL_no,Name,Place,Taluk,District,Latitude,Longitude,Period,Style,Material,Description,Discription_of_sub_Monuments,Published_By,Protected_by,PDFLink,ImageURL,iconUrl
11,Sri Gangadhareshwara temple,Kaidala,Tumkur,Tumakuru,13.300347,77.08143,1151 A.D,Early Hoysala,"Stone, brick and mortar.","The Gangadharesvara (also known as Gangesvara) temple is a Dravidian type structure. It consists of a garbhagriha, a sukanasi and an open navaranga with a flight of steps, with carved elephants on either side. The navaranga has four beautifully sculptured black stone pillars decorated with bead work, like the ones found in Hoysala buildings. The ceiling is carved with a lotus on all the four sides. At the bottom square part of the pillars are fine figures of Siva, Brahma, Vishnu, Bhairava, Krishna, Ganapati, Virabhadra, etc.  
The stone railing all-round the navaranga is carved with elephants and flowers. The tower over the garbhagriha seems to have been built in stucco at a later time.",,"MAR 1918, p. 2; 1927 p. 5
EC XII, Tm 9.
Mysore Gazetteer, Vol V, 
ed. C.Hayavadana Rao; Bangalore, 1928. p. 494.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Gangadhareshwara temple.pdf,images/Tumakuru/Sri Gangadhareshwara temple.jpg,images/temple_.png
12,Sri Kalleshwara temple Aralagappe,Aralaguppe,Tiptur,Tumakuru,13.2535,76.618377,9th century A.D,Hoysala,"Stone, brick and mortar.","It consists of a garbhagriha, a sukanasi and a navaranga. The navaranga has a well-carved doorway, with Gajalakshmi on the lintel and a row of dwarfs on the pediment. The ceiling 1.8 x 1.8m supported by four fine pillars, is divided into nine panels with an elegantly carved Tandavesvara in the middle and the ashtadikpalakas around and four doubled up hanging figures of flying gandharvas in the 4 directions. All the sculptures of this ceiling are exquisitely carved. On the north and south walls are two fine pierced windows of scrollwork. Behind the big Nandi in front is a shrine containing a 1.5 m high figure of Surya, flanked by female archers. ",,"MAR, 1913, pp.20-21; 1935, pp.3-12; 1947, pp.46-47.
EC, XII, Tp. 55,56.
Mysore Gazetteer, Vol V, 
ed. C.Hayavadana Rao, Bangalore, 1930, p.461. 
Karnataka State Gazetteer, Tumkur District,
ed. K.Abhishankar; Bangalore, 1969, p. 571.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Kalleshwara temple Aralagappe.pdf,images/Tumakuru/Sri Kalleshwara temple Aralagappe.jpg,images/temple_.png
13,Sri Kallesvara Temple,Hulikal,Turuvekere,Tumakuru,13.102808,76.594123,c. 12th centuries A.D,Hoysala,"Stone, brick and mortar.","It is a moderate sized Hoysala temple. It consists of a garbhagriha, an open vestibule, a navaranga of four pillars and a small porch, borne on bell-shaped pillars. The outer walls are ornamented with pilasters. The parapet is also intact. The corners of its stone towers are surmounted by brick and mortar nandis.
The navaranga has deep domical ceilings with padma decoration. The central ceiling, however, is raised on two sets of intersecting squares. On the back wall of the navaranga on either side of the doorway is a towered niche, now one occupied by an image of Ganapati and another by a Bhairava. In the southwest corner of the navaranga stands a mutilated image of Shanmukha riding on a peacock. By its side is a dwarfish standing figure of Madhava, holding gada, chakra, sankha and padma. There are also a number of naga stones and a small Nandi. The linga inside the garbhagriha is worn out perhaps due to the action of water. In front of the temple are kept the mutilated images of the Saptamatrika set like Bhairava, Virabhadra, Indrani, Kaumari, Mahesvari and others.",,"MAR 1939, p.63; 1941, pp. 215-18.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Kallesvara Temple.pdf,images/Tumakuru/Sri Kallesvara Temple.jpg,images/temple_.png
14,Sri Kumararamaswamy temple,Doddapalanahalli,Koratagere,Tumakuru,13.441428,77.221445,15th century (entirely rebuilt during the second half of the 20th century) A.D,Dravidian,"Stone, brick and mortar.","It consists of a square garbhagriha, a pradakshinapatha, a navaranga and an open mukhamantapa. Except for the the garbhagriha which appears to be in its original form; the rest of the portions are newly constructed. The pillars are all plain. At the entrance of the navaranga, stands shallow dvarapalas on either side. The outer wall and the adhisthana are newly constructed with stone and cement. The sikhara or tower too is entirely new.",,,"Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Kumararamaswamy temple.pdf,images/Tumakuru/Sri Kumararamaswamy temple.jpg,images/temple_.png
15,Sri Lakshmi Narasimha Temple,Devarayanadurga,Tumkur,Tumakuru,13.373508,77.207468,c. 1638-1659. A.D,Dravidian,"Stone, brick and mortar","Built by Kanthirava Narasaraja Wodeyar of Mysore, this temple was repaired in 1858 by Krishnaraja Wodeyar III. It consists of a garbhagriha, a sukanasi; a navaranga, a mukhamantapa and a porch all set in an enclosure having a mahadvara surmounted by a gopura.",,"MAR 1934, pp. 18-19.
EC, XII, Tm 41-42.
Mysore Gazetteer, Vol V, ed. C.Hayavadana Rao; Bangalore, 1928, pp. 469-70.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Lakshmi Narasimha Temple.pdf,images/Tumakuru/Sri Lakshmi Narasimha Temple.jpg,images/temple_.png
16,Sri Malleshwara temple,Huliyar,Chiknayakanahalli,Tumakuru,13.5867,76.5409,12th Century A.D,Hoysala,"Stone, brick and mortar.","The temple consists of a garbhagriha, a closed sukanasi and a navaranga with six ankanas and a front porch.  The plan of the garbhagriha is square, while that of the navaranga is cruciform. At the sides of the sukanasi entrance are perforated screens and figures of Ganapati. The navaranga has well-carved figures of Saptamatrikas, Sarasvati, Narayana, Uma-Mahesvara and Surya. The navaranga ceilings are flat but exquisitely carved. The central ceiling of the navaranga has a large sized padma with three concentric rows of petals and a low pendent drop. The ceilings of the garbhagriha and the sukanasi are about ¾ m deep, with opera lotuses. Sculptures of a rishi standing with a staff in the right hand, and a man wearing a gonde (knot of hair) and uttariyam are kept in the varanda of the temple. 
Externally the basement consists of three cornices of which the bottom two have unworked latin cross and other mouldings, while the third is square and provided with dentil drops at intervals. The walls of the garbhagriha and the sukanasi are relieved at intervals by plain right-angled pilasters with square mouldings above.
The tower and some parts of the walls are restorations of the first quarter of the 20th century. The porch was added during the forties of the 20th century.",,"MAR 1945, pp. 65-68.
EC XII, Chikkanayakanahalli 35-37.
Mysore Gazetteer, Vol V, ed. C.Hayavadana Rao, Bangalore, 1930, pp. 487-88.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Malleshwara temple.pdf,images/Tumakuru/Sri Malleshwara temple.jpg,images/temple_.png
17,Malleshwara temple,Madhugiri,Madhugiri,Tumakuru,13.660297,77.21056,16th – 17th centuries A.D,Dravidian ,"Stone, brick and mortar.","The temple is a large Dravidian structure built inside a spacious prakara with a lofty tower at the entrance. In the prakara are shrines dedicated to Parvati, Mahishasuramardini, Subramanya, Tandavesvara, Krishna and a Kalyanamantapa which is a fine structure supported by four pillars. Rows of linga cells are noticed on the north and south. The porch of the temple has two niches, the one on the left containing a figure of Harihara and the other a Ganapati. A very graceful ornamentation is carried round the eaves of the roof of the latter representing doves or pigeons in natural attitudes.  On the pedestal of Parvati is a label giving the names of two women who may have set up the image. In this shrine a metallic image of Chaudesvari, brought from a ruined temple has been kept. This is a seated figure, about 40 cm high, with 8 hands, five of them bearing a bell, a shield, a cup, an axe and a sword, one holding the head of demon, the other two are in abhaya and natya attitudes.
The lamp pillar in front about 6 m high has a pavilion on the top for placing lamps.",,"Mysore Gazetteer, Vol V, 
ed. C.Hayavadana Rao, Bangalore, 1930, p. 509.
Mysore State Gazetteer, Tumkur District,
ed. K.Abhishankar, Bangalore, 1969, pp. 589-90.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Malleshwara temple.pdf,images/Tumakuru/Malleshwara temple.jpg,images/temple_.png
18,Malleshwara temple Midigeshi,Midigeshi ,Madhugiri,Tumakuru,13.832245,77.200443,A.D,,"Stone, brick and mortar.",,,"MAR 1918, p.8. Mysore Gazetteer, Vol V,
ed. C.Hayavadana Rao, Bangalore, 1930, pp. 512-13.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Malleshwara temple Midigeshi.pdf,images/Tumakuru/Malleshwara temple Midigeshi.jpg,images/temple_.png
19,Sri Narasimha temple,Kunigal,Kunigal,Tumakuru,13.027668,77.027707,13th century A.D,Dravidian ,"Stone, brick and mortar.","The Narasimha temple at Kunigal is a large structure. The original temple with its garbhagriha, vestibule and navaranga is of the Hoysala period. The navaranga built of granite has a Balakrishna on the lintel of the doorway and four cylindrical granite pillars inside. It has a door to the south. The outer view of the main temple is plain except for its characteristic octagonal cornice and a series of right-angled pilasters with biscuit-shaped capitals. To this original temple, a mahadvara was provided on the east. In the late Vijayanagara days some additions and alterations were made, viz., the addition of a mukhamantapa of three ankanas with pillars of cubical mouldings bearing rudely carved sculptures, the addition of another mahadvara, and the construction of two rows of cells facing each other between the two mahadvaras. The deity in the garbhagriha of this temple is Janardhana, said to have been brought from Huliyurdurga. In the sukanasi are kept three sets of processional images- Narasimha, Venkataramana and Varadaraja. The front portion of the temple has three cells on either side; of those on the north, the middle one has Rama and the others Visvaksena and Nammalvar; while those on the south have Venkataramana and the goddess, and the third is vacant.",,"MAR 1919, p.52; 1938, p.13.
EC, XVI, Kg 51-53.
Mysore Gazetteer, Vol V,
ed. C. Hayavadana Rao, Bangalore, 1930. p. 503.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Narasimha temple.pdf,images/Tumakuru/Sri Narasimha temple.jpg,images/temple_.png
20,Sri Narasimha Temple (Lakshminarasimha Temple),Vighnasanthe,Tiptur,Tumakuru,13.146883,76.53994,1286 (Narasimha III) A.D,Hoysala,"Stone, brick and mortar.","This is a trikutachala or three-celled structure. The main cell, which alone has a sukanasi and is surmounted by a tower, enshrines Keshava; the left cell has Lakshminarasimha and the right Venugopala. All the figures are well carved, their prabhas being sculptured with the ten incarnations of Vishnu. At the sides of the sukanasi doorway are figures of Ganapati and Mahishamardini. The temple has a small porch and the remains of a mukhamantapa, at some interval. The navaranga pillars are elegantly carved with bead and scroll work. The ceiling of the porch and the central ceiling of the navaranga, about 1 m deep, are domed and adorned with fine lotus buds; while the others, about ½ m deep, are square with small lotus buds. The porch is supported by two beautifully carved pillars, the capitals, too, being sculptured and adorned at the corners over them with lions attacking elephants. The outer walls have a row of flowers of various patterns, a few turrets and elegant pilasters. The plinth has several mouldings with rows of lions, beadwork, etc. 
The stone tower, with several rows of turrets and figures rising one above the other, is of exquisite workmanship, its floral carvings being wonderful. It rises in four tiers with a projection over the vestibule, on whose front face is a large kirtimukha bearing an image of Garuda. The tower is decorated with carved figures of gods and goddesses on the four sides.",,"MAR , 1939, pp. 64-66.
Mysore Gazetteer, Vol V,
ed. C.Hayavadana Rao, Bangalore, 1930, p. 558.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Narasimha Temple (Lakshminarasimha Temple).pdf,images/Tumakuru/Sri Narasimha Temple (Lakshminarasimha Temple).jpg,images/temple_.png
21,Sri Padmeshwara temple,Kunigal,Kunigal,Tumakuru,13.028993,77.029072,13th century A.D,Hoysala,"Stone, brick and mortar.","The Padmesvara temple is a neat structure in the Hoysala style. It consists of a garbhagriha, a sukanasi and a navaranga. Of the two cells at the sides of the sukanasi doorway, the right cell has a figure of Ganapati, the other one contains Parvati.  The navaranga has four pillars of granite, having cubical mouldings and connected by sixteen-fluted shafts with wheel moulding above. The east door of the navaranga has no porch, while the south one appears to have had a porch. The ceilings of the navaranga, about 50 cm deep, are carved with lotuses. The outer walls are decorated with pilasters. The garbhagriha of the temple has a medium-sized linga on a fine pedestal.",,"MAR 1938, p.14.
Mysore Gazetteer, Vol V,
ed. C.Hayavadana Rao, Bangalore, 1930, p. 504.
Mysore State Gazetteer, Tumkur District,
ed. K.Abhishankar; Bangalore, 1969, pp. 49, 588.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Padmeshwara temple.pdf,images/Tumakuru/Sri Padmeshwara temple.jpg,images/temple_.png
22,Sri Ranganatha temple,Shettikere,Chikknayakanahalli,Tumakuru,13.383,76.5612,,,,"The temple consists of a garbhagriha with two cells at the sides, in which are placed the images of Sridevi and Bhudevi.The garbhagriha has a standing figure, about 1 m high, of Vishnu, holding a discus and conch in the upper hands and a bow and an arrow in the lower ones. The images in the Ranganatha temple are of very rude workmanship and belong possibly to be late Vijayanagara period. (The Ranganatha temple is believed to be later than the Yoga-Madhava temple in the same place)",,"MAR 1934, p. 26.
Mysore Gazetteer, Vol V, ed. C.Hayavadana Rao; Bangalore, 1928, pp. 533-34.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Ranganatha temple.pdf,images/Tumakuru/Sri Ranganatha temple.jpg,images/temple_.png
23,Sri Shankareshwara temple (Mule-Shankareshwara),Turuvekere,Turuvekere,Tumakuru,13.168703,76.663852,Early 13th centuries A.D,Hoysala,"Stone, brick and mortar.","The Mule-Shankaresvara is in many respects similar in plan to the Channakesava temple. It consists of a garbhagriha, a sukanasi, a navaranga with an entrance and porch on the south. The linga here faces east. The tower, however, differs from that of the other temple in design, having rows of turrets from the bottom to the top. At the angles to the right of the navaranga are the figures of Saptamatrikas and Ganapati and opposite to the entrance, figures of Bhairava, Virabhadra and Subramanya. There is no figure sculpture on the outer walls, but only pilasters with intervening turrets.",,"MAR, 1934, p.28.
EC, XII, Tp. 8; XVI, Tp. 151.
Mysore Gazetteer, Vol V, ed. C.Hayavadana Rao,Bangalore, 1930, pp.554-55.
Mysore State Gazetteer, Tumkur District,
ed. K.Abhishankar, Bangalore, 1965, p.50.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Shankareshwara temple (Mule-Shankareshwara).pdf,images/Tumakuru/Sri Shankareshwara temple (Mule-Shankareshwara).jpg,images/temple_.png
24,Sri Varadarajaswamy Temple,Hebbur,Tumkur,Tumakuru,13.154938,77.034055,c. 15th century A.D,Early Vijayanagara,"Stone, brick and mortar.","The Varadarajasvamy temple is a small structure consisting of a garbhagriha, a sukanasi, a navaranga with a verandah all round. There are two rooms on either side of the sukanasi. The left room, which is empty, opens into the sukanasi and was perhaps used for keeping temple articles. The right room opens into the navaranga and has the figure of the Goddess.
The image of Varadaraja is about 60 cm high and stands on a 60 cm high pedestal. The figure holds conch and discus in the backhands, while in the front left hand is a mace. The front right hand is in varada pose. The Goddess is sitting, holding a lotus in each of its upper hands, the lower hands, being in the abhaya and varada pose.",,,"Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Varadarajaswamy Temple.pdf,images/Tumakuru/Sri Varadarajaswamy Temple.jpg,images/temple_.png
25,Veerabhadra and Chokkanathasvamy temples,Kesthur,Tumkur,Tumakuru,13.504202,77.073857,c.10th – 11th and 16th  centuries A.D,Dravidian,"Stone, brick and mortar.","The Chokkanatha temple is an ordinary structure consisting of a garbhagriha, an antarala and a navaranga. The antarala and the garbhagriha are of equal dimensions and contain austere doorjambs. The four pillars of the navaranga, about 2 m high, are plain. These square-octagonal-square pillars support a simple but square bhuvanesvari. The front entrance is short with simple decorations and resembles the early Ganga-Nolamba style. The adhishthana and the bhittis have undergone complete renovation and have lost their original character. The Dravida tower is built of brick and mortar. The sukanasi projection in the front is a notable feature.
In the navaranga are seen images of two-armed Vinayaka and Durga of Ganga times. It also contains images of Saptamatrikas, Bhairava and Naga. The Sivalinga in the garbhagriha betrays ancient features. Around the temple are some ruined Sivalingas. The temple gives the impression of having had a dvikuta-trikuta plan originally. 
To the south-east of this temple stands the Virabhadrasvami temple of the Vijayanagara period. It consists of a garbhagriha, an antarala, a navaranga and a mukhamantapa. It can be entered from the east and north. Its outer walls are plain but the doorjambs are decorated. The temple has a Dravida sikhara. The figure of Virabhadra, 1 m high, kept inside the garbhagriha has a tranquil look. ",,,"Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Veerabhadra and Chokkanathasvamy temples.pdf,images/Tumakuru/Veerabhadra and Chokkanathasvamy temples.jpg,images/temple_.png
26,Sri Venkataramana temple,Madhugiri,Madhugiri,Tumakuru,13.660297,77.21056,17th centuries A.D,Dravidian ,"Stone, brick and mortar.",,"Like the Mallesvara temple in Madhugiri the temple of Venkataramana is also a large structure built inside a spacious prakara with a lofty tower at the entrance. The idol of Venkataramana is about 2 m tall. The porch has two cells, the one to the right enshrining Garuda and the other Hanuman. The temple has some stone and metallic figures of Srivaishnava saints.
The images of Sridevi and Bhudevi are installed in separate shrines inside the prakara","MAR 1939, p.24. Mysore Gazetteer, Vol V, ed. C.Hayavadana Rao, Bangalore, 1930, p.501.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Venkataramana temple.pdf,images/Tumakuru/Sri Venkataramana temple.jpg,images/temple_.png
27,Sri Venkataramana temple Midigeshi,Midigeshi ,Madhugiri,Tumakuru,13.832245,77.200443,A.D,Dravidian ,"Stone, brick and mortar.","The Venkataramana temple is similar in plan to the temple of the same name at Madhugiri. It is said to have been built by a chieftain named Nagareddi. [The place is said to have been so named by a local chief, Nagareddi, after his wife Midigesi, who was so called because her hair (kesha) was so long that it touched her heel, (nidi)].  Its dvaramantapa, which has a large Dravidian brick tower and lion-bracket pillars, has a Ganesa in the south cell and Bhairava in the north cell. Its mukhamantapa has a set of fine pillars with ribbed brackets. The garbhagriha appears to be an ordinary late Hoysala structure. ",,"MAR, 1918, p.8; 1938, p. 10-11.
Mysore Gazetteer, Vol V,
ed. C.Hayavadana Rao, Bangalore, 1930, p. 513.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Venkataramana temple Midigeshi.pdf,images/Tumakuru/Sri Venkataramana temple Midigeshi.jpg,images/temple_.png
28,Sri Yogamadhava temple,Shettikere,Chikknayakanahalli,Tumakuru,13.381207,76.5588,1261 (Narasimha III) A.D,Hoysala,"Stone, brick and mortar.","The Yoga-Madhava temple is a trikutachala consisting of three cells, the main cell alone having a sukanasi, with a common navaranga and a porch. A mukhamantapa in the Dravidian style has been added during the first quarter of the 20th century. The doorways of the sukanasi and navaranga and the pillars there are well executed. The square ceilings, each about 2 feet deep, are 14 in number; 3 in the 3 cells, one each in the sukanasi and porch and 9 in the navaranga; and all have lotus buds surrounded by rows of petals. The one in front of the north cell shows crossbars; and that of the porch, pointed petals. At the sides of the sukanasi entrance are beautifully carved figures of Ganapati and Mahishamardini. The seated idol in the main cell is known as Yoga-Madhava; the north cell has Lakshminarayana and the south Venugopala, all about 1.5 m tall. All the three images are well executed and their prabhavalis are sculptured with ten avataras. 
On the exterior, the plinth, about a metre high and ornamented with five cornices, runs around the temple following its contour. The walls are decorated with indented square shaped bell pilasters and canopies surmounted by towers of varied shape, like the stepped pyramid with a tapering vertical band, the multiple turreted towers, the star-shaped curvilinear tower, etc.",,"MAR 1934, pp. 24-27.     EC XII, Ck 2.
Mysore Gazetteer, Vol V, ed. C.Hayavadana Rao, Bangalore, 1930, pp. 532-34.","Department of Archaeology, Museums and Heritage, Mysuru",images/Tumakuru/Pdfs/Sri Yogamadhava temple.pdf,images/Tumakuru/Sri Yogamadhava temple.jpg,images/temple_.png
