SL_no,Name of Monument,Place,Taluk,District,Location,Latitude, Longitude,Classification,Category,Orientation,Dedication,Period,AD_BC,Dynasty,Style,Material,Description,Discription_of_sub_Monuments,"Details_of_Paintings
",Details_of_Inscriptions,SculptorArtist,Published_By,Importance,Protected_by,PDFLink,ImageURL,iconUrl
12,Fort,Devadurg,Devadurg,Raichur,On top of the hill east of the town,16.415804,76.936814,3,C,E,,16th Century A.D,AD,Palegara Chiefs Vijayanagara and Adilshahi,Giridurga,Stone brick and mortar.,"This fort was at one time a stronghold of a powerful native Palegar Chiefs who also caused the construction of the fort later the fort passed to Vijayanagara and after them Adil Shahi.
The fort situated on top of the hill stretches over to three other hills called Iramma Gudda Anarappana Gudda; and another hill name not known. Fortification contains two encircling walls which has been strengthened by square stone blocks in its construction its outer walls are massive and adorned with series of bastions at regular intervals.
Inner fort has a entrance to east but this does not have any gateway structure; to the south of this entrance is a rock once there were steps to climb on top of the rock where a square structure still exist a number of figures have been carved on the rock. To the west of this rock is a kalyani called Sidilubhavi which is below surface level a crescent shaped wall covers the kalyani in the same vicinity are some ruined structures.
North of the Iramma Gudda is Anarappanna Gudda fort which even stretches over this hill here is a temple and a watchtower of a later period. In side the fortification to the southwest is a big lake in same vicinity are Nayakanabhavi Khasabhavi and an arched structure.
The northern fortification contains irregular shape stone in the walls there are gun ports to shoot and in exterior there are many circular and semicircular bastions in the middle of this wall is a wooden door and its frame which is arched on top which lead to vaulted vestibule. This wall is adorned with two balconies with three arches in front which is supported by four horizontal crossbars. To the west of the north door inside the fort is platform with three ankanas; in same vicinity is building with first floor and adjacent to the north wall is a long kalsale opposite to this are arches entering from here is square courtyard to the east is a big hall which has arches.
To the south of the courtyard is a small Darbar hall standing on an adhistana. In centre is a hazara with only pillar basis remaining which decoratively made from stone in a corner of this hazara is two rooms its top floor is ruined. 
To the west of this building is a water tank and an arched door which leads to the south side of the fort adjacent to this door is a circular bastion. To the south inside the fortification are remains of a ruined structure.
",,Nil.,Inscription dated 1690 A.D. on a boulder on top of the hillock called Irammadevaragudda records Kesavayya gouda caused the construction of the tank and fort at Devadurga in 1677 A.D. and consecrated the God Govardhana Gopalakrishna and erected the market place (sante) and also caused the construction of the fort of Malladevaradurga also states Devadurga situated at surapura territory was a flourishing place.,Not known,"a) Antiquarian Remain in Hyderabad State    Government of Hyderabad 1953 p.62.
b) Kannada Vishaya Vishwa Kosha  Mysore University p.223
c) Raichur Mattu Koppala Jilleya Kotegalu Ondu Adhayana Sujata Mallana Gowda (Ph.d thesis) Kannada University Hampi 2000 pp. 110-116.
",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/Fort.png
13,Harihareshwara Temple,Gabbur,Devadurg,Raichur,Situated towards the east of Venkateswara temple.,16.30647,77.155464,,C,E.N,Shiva,10th to 12th century A.D,AD,Chalukya of Kalyana,Vasera,Stone brick and mortar.,"This is situated towards the east of Venkateswara temple. The temple is built inside a spacious courtyard. On entering the court one sees a temple to his right and another in front. The plan of the temple on the right consists of a garbhagriha sukanasi a narrow corridor and a small room. A linga and an image of Kumara are installed in the garbhagriha.
The temple in front towards the south is entered by a small door. It consists of a hall with three shrines on three sides towards the east the west and the south each cella is attached to a sukanasi but the dimensions are very small. A large Nandi is placed in the sukanasi of the eastern shrine. A linga is installed in the western shrine and the southern one has an image of Vishnu. 
The doorway of the western cella is most elegantly carved particularly the female figure at the right end of the frieze.
",,Nil.,An inscriptional tablet is seen near Nagarakallu (snake stone) at the temple.,Not known,"a) Karnataka State Gazetteer Raichur District (Ed) K.Abhishankar; Bangalore 1970.
b) Annual Report of the Archaeological Department of H.E.H. The Nizam’s Dominions Calcutta 1938.
",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
14,Maruthi temple-1,Gabbur,Devadurg,Raichur,In the village,16.308141,77.158077,,,,Worship,A. D,AD,,,Stone brick and mortar.,,,Nil.,,Not known,,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
15,Maruthi temple-2,Gabbur,Devadurg,Raichur,In the village to the east of Chennakesava temple,16.309438,77.155128,,,,Worship, A.D,AD,,Early Hoysala,Stone brick and mortar.,,,Nil.,,Not known,,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
16,Sri Bangar Basappa temple,Gabbur,Devadurg,Raichur,,16.308678,77.155248,2,C,South,Shiva,12th Century A.D,AD,Chalukyan of Kalyana,Vesara,Stone,It is a small shrine in which an image of Ganapathi along with two Nandis (one is of a fairly large size and the other is a small one) are installed.,,Nil.,An inscriptional tablet is seen out side the temple towards the south-west.,Not known,"a) Karnataka State Gazetteer Raichur District (Ed) K.Abhishankar; Bangalore 1970.
b) Annual Report of the Archaeological Department of H.E.H the Nizam’s Dominions Calcutta 1938.
",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
17,Sri Hampanna temple,Gabbur,Devadurg,Raichur,,16.311798,77.152541,,,,Shiva,12th Century A.D,AD,,,Stone brick and mortar.,,,Nil.,,Not known,"a) Karnataka State Gazetteer Raichur District (Ed) K.Abhishankar; Bangalore 1970.
b) Annual Report of the Archaeological Department of H.E.H the Nizam’s Dominions Calcutta 1938.
",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
18,Sri Sugureshwara temple,Gabbur,Devadurg,Raichur,,16.309561,77.150882,,,,Shiva,12th Century A.D,AD,,,Stone brick and mortar.,,,Nil.,,Not known,,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
19,Sri Venkateswara temple,Gabbur,Devadurg,Raichur,To the southwest of the village on the bank of a tank called Elubavi.,16.306465,77.155473,1,C,N,Venkateshwara,A.D,AD,Chalukyan of Kalyana,Chalukyan ,Stone,"The temple is built at the western side of a large cistern styled the sat baoli or the seven cisterns. 
The temple is a trikutachala with three shrines with ante-chamber on three sides towards the east the west and the south a hall with a music mandap and a porch. The image of Vishnu in the western shrine is beautifully carved. The eastern one has a linga. The shrine towards south has a Vishnu image. 
The carvings on the exterior of this temple representing figures of deities and animals are elegant and among these the figures of elephants are particularly striking.
",,Nil.,An inscription is noticed on a square pillar fixed in the court of this temple at the north east angle.,Not known,"a) Karnataka State Gazetteer Raichur District (Ed) K.Abhishankar; Bangalore 1970.
b) Annual Report of the Archaeological Department of H.E.H. The Nizam’s Dominions Calcutta 1938.
",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
20,Sri Venugopala temple,Devadurg,Devadurg,Raichur,Within the town,16.415433,76.939383,,,,Worship,A.D,AD,,,Stone brick and mortar,,,Nil.,,Not known,,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
21,Sri Lakshmi Narayana temple with the inscription ,Balaganur,Sindhanur,Raichur,In the village,15.956445,76.750827,1,C,South,Narayana,12th century c. 1175 A.D,AD,Kalachuri’s,,Stone,"The temple consists of a garbhagriha with an open antarala on the north an oblong ankana a navaranga and two mukhamantapa one on the north and another on the east.
The garbhagriha doorway has pilasta sakhas with projection and recesses consists of a garbhagriha with an open antarala on the north an oblong ankana a navaranga and two mukhamantapa one on the north and another on the east.
The garbhagriha doorway has pilasta sakhas with projection and recesses. Its doorjambs have dvarapala on the left and Venugopala on the right. Venugopala and dvarapala are framed in prabhavali and torana ending in kritimukha. The lalata has a Gajalakshmi. The kapota projects prominently and is curvilinear in section. The pediment has fine turrets in Rekhanagara style. At each end is a lozenge and the intervening space is decorated with lions and garland bearers.
The ceiling of the antarala is of a lozenge. Flat slab at the top has domical flower framed in a star in high relief. There is an oblong bay as wide as the navaranga in front of the antarala. There are four niches here two in the north wall and one each in the east and west walls. One niche has a Naga stone and another a mutilated sculpture of Vishnu reclining on Sesha. The central ceiling of this bay has a lotus framed in a star. The remaining two ceilings are flat and plain.
The navaranga has openings to the north and east and have a kakshasanas. Each kakshasana has two lathe turned pillars. The navaranga has four pillars. They are round and are finely carved consisting of a well moulded square base octagonal discoidal and circular bands. The square bases have the images of Ganesha Mahishasuramardhini Bhairava Venugopala Lakshmi Brahma Garuda devotees etc.
The garbhagriha has an image of seated Lakshminarayana on a high peetha. It has chakra and sankha in the upper right and left hands the lower left hand goes round the waist of Lakshmi and the lower right is in abhayamudra. Lakshmi seated on the lap of Narayana is holding flower in the left hand. Below her feet is a small figure of Hanuman.
The temple has no superstructure.
",,Nil.,An inscription dated 1175 A.D. on a slab fixed into the wall of the mantapa of temple records grants to the god Lakshminarayana. Another dated 1191-92 A.D. on another slab in the temple records that the temple was constructed by Subbadevasetti and his brothers. It also mentions details of grants made subsequently.,Not known,Temples of Raichur and Bellary Districts Karnataka 1000-1325 A.D. Channabasappa S. Patil Mysore 1992 pp. 71 73.,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
22,Flakes coresInscription,Roudkunda,Sindhanur,Raichur,Roudkunda stands 10 km south of Sindhnur.,15.683573,76.770655,,,,,,AD,,,Stone,Deep granite mealing trough and rich series of flakes of chert agate and chalcedony pygmy flakes are deserving attention. Pale chacolate chert agate flake brown mottled in color shaped like an arrowhead small sharp edged lancet of red chert; pale motted brown chert with two cutting edges lip of a broad excurved large bowl of plae red polished earthern ware with three fillets of impressed dots round the top. A small fragments of chank shell bangles were found here.,,Nil.,,Not known,Foote Bruce; “Indian prehistoric and protohistoric antiquities Notes on their Ages and distribution Madras 1916 p.126.,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/inscriptions.png
23,Ek-Minar Masjid,Raichur,Raichur,Raichur,The Masjid is situated to the left of the road near sikandari Darwaza.,16.203371,77.352605,17,B,,Allah,15th century ,AD,Bahmani ,Persian style,Stone brick and mortar.,As per a Persian inscription on the threshold of the mosque it was constructed by one Amber. The pillars supporting the roof of the entrance are all Chalukyan pillars. It has only one minaret as its name itself suggests. The minaret about 65 feet high and 13 feet in diameter is built in Persian style and is identical in form with the Chand Minar at Daulatabad erected in 1445 A.D by Ala-ud-din Bahmani and the minaret of the famous college of Mahmud Gawan at Bidar built during 1472 A.D. It consists of two storeys; each furnished with windows and surrounded by projecting galleries girded with stone balustrades gradually tapers from bottom to top and has at the top a round dome in the Bahmani style. A winding staircase leads up to the top storey. Apart from its architectural peculiarities the mosque as the inscriptions in the building show is the oldest place of Muslim worship in the town.,,Nil.,,Not known,Karnataka State Gazetteer Raichur District (Ed) K.Abhishankar; Bangalore 1970,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/Mosque.png
24,Kati Darwaza,Raichur,Raichur,Raichur,,16.202905,77.354946,20,C,W.N.E,,15th century ,AD,Bahmani ,,Stone brick and mortar.,"The hill fort of Raichur which was of great importance in the past is surrounded on three sides by a double row of massive but low circuit walls. The inner walls built of huge block of stone without the aid of any cementing material is the work of the Hindus and the outer walls built of comparatively rough stone masonry is the work of the Muslims. 
The outer fortifications contain five gates; the Meccai Darwaza on the west the Naurangi Darwaza on the north the Kati Darwaza on the east the Khandak Darwaza on the north and Doddi Darwaza on the south-west.
The Maccai Darwaza and the adjoining walls were according to the persian inscriptions on the arches of the gateway built by the commands of one Mallu Khan in 1470 A.D during the reign of the Bahamani king Muhammad Shah III. The modern road starting from the railway station and leading into the town passes through this gate way. Further to the south near the fort of the hill is the Doddi Darwaza a double arched entrance in the muslim wall. Near this gate way is a beautiful well-constructed of fine stone masonry with a long stair case leading right to the bottom. Generally the material used for the construction of these gateways has been taken from some ruined Hindu temples.
",,Nil.,A kannada inscription dated 1294 A.D on a slab in the western inner wall states that the work of the fort inner wall is that of Hindus.,Not known,Karnataka State Gazetteer Raichur District (Ed) K.Abhishankar; Bangalore 1970,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/Mosque.png
25,Maccai Darwaza,Raichur,Raichur,Raichur,,16.202082,77.345898,20,C,W.N.E,,15th century A.D,AD,Bahmani ,,Stone brick and mortar.,"The hill fort of Raichur which was of great importance in the past is surrounded on three sides by a double row of massive but low circuit walls. The inner walls built of huge block of stone without the aid of any cementing material is the work of the Hindus and the outer walls built of comparatively rough stone masonry is the work of the Muslims. 
The outer fortifications contain five gates; the Meccai Darwaza on the west the Naurangi Darwaza on the north the Kati Darwaza on the east the Khandak Darwaza on the north and Doddi Darwaza on the south-west.
The Maccai Darwaza and the adjoining walls were according to the persian inscriptions on the arches of the gateway built by the commands of one Mallu Khan in 1470 A.D during the reign of the Bahamani king Muhammad Shah III. The modern road starting from the railway station and leading into the town passes through this gate way. Further to the south near the fort of the hill is the Doddi Darwaza a double arched entrance in the muslim wall. Near this gate way is a beautiful well-constructed of fine stone masonry with a long stair case leading right to the bottom. Generally the material used for the construction of these gateways has been taken from some ruined Hindu temples.
",,Nil.,A kannada inscription dated 1294 A.D on a slab in the western inner wall states that the work of the fort inner wall is that of Hindus.,Not known,Karnataka State Gazetteer Raichur District (Ed) K.Abhishankar; Bangalore 1970,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/Mosque.png
26,Naurangi Darwaza,Raichur,Raichur,Raichur,,16.207021,77.352445,20,C,W.N.E,,15th century A.D,AD,Bahmani ,,Stone brick and mortar.,"The hill fort of Raichur which was of great importance in the past is surrounded on three sides by a double row of massive but low circuit walls. The inner walls built of huge block of stone without the aid of any cementing material is the work of the Hindus and the outer walls built of comparatively rough stone masonry is the work of the Muslims. 
The outer fortifications contain five gates; the Meccai Darwaza on the west the Naurangi Darwaza on the north the Kati Darwaza on the east the Khandak Darwaza on the north and Doddi Darwaza on the south-west.
The Maccai Darwaza and the adjoining walls were according to the persian inscriptions on the arches of the gateway built by the commands of one Mallu Khan in 1470 A.D during the reign of the Bahamani king Muhammad Shah III. The modern road starting from the railway station and leading into the town passes through this gate way. Further to the south near the fort of the hill is the Doddi Darwaza a double arched entrance in the muslim wall. Near this gate way is a beautiful well-constructed of fine stone masonry with a long stair case leading right to the bottom. Generally the material used for the construction of these gateways has been taken from some ruined Hindu temples.
",,Nil.,A kannada inscription dated 1294 A.D on a slab in the western inner wall states that the work of the fort inner wall is that of Hindus.,Not known,Karnataka State Gazetteer Raichur District (Ed) K.Abhishankar; Bangalore 1970,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/Mosque.png
27,Iinscriptions,Taikhan,Raichur,Raichur,Within the village,15.881475,76.53862,,,,,12th –18th  century A.D,AD,,,Stone,Jain sculptures and inscriptions fitted into the fort-walls are found in various localities of the town.,,Nil.,,Not known,"a) Antiquarian Remains in Hyderabad state govt. of Hyderabad 1953. p. 52.
b) Annual reports of Indian Epigraphy D. 1962-63. pp. 191-192 178-185.
",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/inscriptions.png
28,Inscriptions,Chicklaparavi,Manvi,Raichur,About 10 km south of Manvi on the left bank of river Tungabhadra. The inscriptions from in mumba are set up at the entrance of the village.,15.899593,77.058098,13,C,,,13th – 16th Centuries.,AD,Vijayanagara.,,Stone,A Kannada inscription dated 1521 A.D. found on a slab in a field out side the Village. It records the Journey of King Krishnadevaraya of Vijayanagara. He was returning from Kudalur Sangam after conquring Raichur Alumpur Manave Hanagallu & Magade forts. It also records the grant of the village Chikapurnvi to the God Tiruvengalanatha while performing Ratnadhenu Gosahasra and Kanakasva Mahadana in association with his queens Chinnadevi and Tirumaladevi at the confluence of the rivers Krishnaveni and Bhimarthi. ,,Nil.,,Not known,"1. Antiquarian Remains in Hyderabad State 1953. p. 62 
2. Annual Reports on Indian Epigraphy B. 1961-62. No. 552. p. 104
3. Kannada Viswavidyalaya Sasanasampathu V.7 ed. Devarakondareddy p. 243.
",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/inscriptions.png
29,Jami Masjid,Manvi,Manvi,Raichur,On the lowest elevation of the hill,15.989114,77.048666,,,,Allah,,AD,,,Stone brick and mortar,,,Nil.,,Not known,,Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/Mosque.png
30,Marateshwara temples with inscriptions,Kallur,Manvi,Raichur,The temple and inscriptions are found in and around the village Kallur.,16.139138,77.206818,1,C,E,shiva,12th century A.D,AD,Chalukyas of Kalyana.,Chalukyan,Stone brick and mortar.,"There are six temples in and around the village out of these Markandeswara is the oldest one. Some black polished stone pillars of kalyana Chalukya style are seen in the hall of this temple. Another temple known as Marutishwara temple is also an old temple. An inscription at this temple records that one Singhanna set up the garuda pillar in front of this temple. And it also states that the village was an agrahara in those days. 
A number of inscriptions have been found in this village. Most of them belong to the period of Chalykyas of Kalyana. 
A wooden inscription which now forms part of the ceiling of the chavadi building states that the gateway (Raichur Darwaza) was constructed by Agha Khusru a well-known Adil Shahi dignitary.
",,Nil.,,Not known,"a) Karnataka State Gazetteer Raichur District (Ed) K.Abhishankar; Bangalore 1970
b) Annual Report of the Archaeological Department of H.E.H. The Nizam’s Dominions Calcutta 1938.
",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
31,Ramalingeshwara Temple,Chicklaparavi,Manvi,Raichur,About 10 km south of Manvi on the left bank of river Tungabhadra. The inscriptions from in mumba are set up at the entrance of the village.,15.894567,77.053192,13,C,,Shiva,13th – 16th Centuries.,AD,Vijayanagara.,,Stone brick and mortar.,A Kannada inscription dated 1521 A.D. found on a slab in a field out side the Village. It records the Journey of King Krishnadevaraya of Vijayanagara. He was returning from Kudalur Sangam after conquring Raichur Alumpur Manave Hanagallu & Magade forts. It also records the grant of the village Chikapurnvi to the God Tiruvengalanatha while performing Ratnadhenu Gosahasra and Kanakasva Mahadana in association with his queens Chinnadevi and Tirumaladevi at the confluence of the rivers Krishnaveni and Bhimarthi. ,,Nil.,,Not known,"1. Antiquarian Remains in Hyderabad State 1953. p. 62 
2. Annual Reports on Indian Epigraphy B. 1961-62. No. 552. p. 104
3. Kannada Viswavidyalaya Sasanasampathu V.7 ed. Devarakondareddy p. 243.
",Historical,Directorate of Archaeology and Museums in Karnataka.,NA,NA,images/temple_.png
